Player 1,Player 2,Probability of Win for Player 1
A0,A0,0.7826883678270635
A0,A1,0.44553913136083995
A0,A2,0.6451745905459545
A0,A3,0.7783790280616663
A0,A4,0.5723761876381551
A0,A5,0.58132303824106
A0,A6,0.90956397047226
A0,B0,0.6279379675345707
A0,B1,0.91000892764806
A0,B2,0.9415788756762231
A0,B3,0.8554008894629783
A0,B4,0.7605438378836296
A0,B5,0.48941057689012957
A0,B6,0.6157634063741824
A0,C0,0.6604339846256945
A0,C1,0.6906349974238013
A0,C2,0.8649262698796395
A0,C3,0.8350423611886648
A0,C4,0.6015304620388437
A0,C5,0.9446011737305522
A0,C6,0.8872171822889929
A0,D0,0.7519276660565227
A0,D1,0.40481984856070824
A0,D2,0.9394124457218459
A0,D3,0.712584236662827
A0,D4,0.7552000562248644
A0,D5,0.5174760853574004
A0,D6,0.4382256044866737
A0,E0,0.6739847192078114
A0,E1,0.6912365707293292
A0,E2,0.951809991277171
A0,E3,0.8233322840745599
A0,E4,0.5936284263670663
A0,E5,0.7663950800729086
A0,E6,0.7107524179346406
A0,F0,0.8227527117912169
A0,F1,0.6071957211632562
A0,F2,0.5077291937617213
A0,F3,0.42660956376298076
A0,F4,0.7852048269956476
A0,F5,0.729108703224453
A0,F6,0.5456728941022646
A0,G0,0.5473801850334084
A0,G1,0.5679364575045657
A0,G2,0.6362623039799908
A0,G3,0.9176045642863572
A0,G4,0.5540908189443368
A0,G5,0.8432861190362149
A0,G6,0.8406820723258823
A0,H0,0.7337941655587445
A0,H1,0.735747298604511
A0,H2,0.6040037458641193
A0,H3,0.6234724932322773
A0,H4,0.6933370685764274
A0,H5,0.6331417168053652
A0,H6,0.7800677782277302
A0,I0,0.9178565274130932
A0,I1,0.5810700875581134
A0,I2,0.6953042030824432
A0,I3,0.5642942608900009
A0,I4,0.6757051709654978
A0,I5,0.6387115381159205
A0,I6,0.42170254005841845
A0,J0,0.8691480892671185
A0,J1,0.922038732760962
A0,J2,0.5106381649589246
A0,J3,0.7967752910499537
A0,J4,0.536869027029655
A0,J5,0.6662510924796001
A0,J6,0.42215538433926797
A0,K0,0.6017502298540164
A0,K1,0.9128435755739349
A0,K2,0.4207252641776225
A0,K3,0.869794295117289
A0,K4,0.6378743758711565
A0,K5,0.45934311933250466
A0,K6,0.7439057070870356
A0,L0,0.5679917317015889
A0,L1,0.5030388253289321
A0,L2,0.5939948500118178
A0,L3,0.5026953350117613
A0,L4,0.8144965233445637
A0,L5,0.9160712705082876
A0,L6,0.7957953259526143
A0,M0,0.5055908584818619
A0,M1,0.9094580123490094
A0,M2,0.965156185838495
A0,M3,0.43381058840980014
A0,M4,0.7864505413150337
A0,M5,0.3697762314140159
A0,M6,0.9134639313882923
A0,N0,0.3825549621678551
A0,N1,0.6770407846410962
A0,N2,0.7178365701911975
A0,N3,0.4923539949819243
A0,N4,0.7925395419435074
A0,N5,0.7556415613083973
A0,N6,0.9128947977216714
A0,O0,0.8697860404530728
A0,O1,0.5398228278763366
A0,O2,0.9262613222511781
A0,O3,0.6269696861561707
A0,O4,0.7169006814210571
A0,O5,0.6901895671730823
A0,O6,0.5045085886454125
A0,P0,0.8502763855710228
A0,P1,0.564315770185217
A0,P2,0.5092709437784454
A0,P3,0.5315085496943636
A0,P4,0.5754348219372646
A0,P5,0.5314813942957662
A0,P6,0.7649506704222375
A0,Q0,0.5379954930112156
A0,Q1,0.7760968845787709
A0,Q2,0.4783338168795452
A0,Q3,0.45383200785565286
A0,Q4,0.6070133145551493
A0,Q5,0.5948509131689838
A0,Q6,0.7996835968301603
A0,R0,0.8202247247229433
A0,R1,0.4396144002614906
A0,R2,0.48563919101678477
A0,R3,0.7053660676592595
A0,R4,0.8934959246286112
A0,R5,0.9004212468893393
A0,R6,0.6106471863421712
A0,S0,0.6412160354421155
A0,S1,0.5201303355707823
A0,S2,0.6751554982765715
A0,S3,0.5681828817716447
A0,S4,0.582366562985749
A0,S5,0.8162420886555746
A0,S6,0.42703711633704095
A0,T0,0.7027808160519712
A0,T1,0.5043271096630307
A0,T2,0.6839066206872094
A0,T3,0.5683983181599416
A0,T4,0.41374669720603957
A0,T5,0.6891514521471914
A0,T6,0.6344600233468927
A0,U0,0.605898763029859
A0,U1,0.3717745068549753
A0,U2,0.7472161095883177
A0,U3,0.48072098610251024
A0,U4,0.5100221238968901
A0,U5,0.5673822100154526
A0,U6,0.7344923355137861
A0,V0,0.49496136485534453
A0,V1,0.4762073509588094
A0,V2,0.757457796430053
A0,V3,0.44876808346295843
A0,V4,0.41116912110005355
A0,V5,0.6037043044251208
A0,V6,0.8112432565192074
A0,W0,0.6476970204391396
A0,W1,0.9305717098866738
A0,W2,0.8454343070478562
A0,W3,0.6214807869233586
A0,W4,0.6720872645700987
A0,W5,0.7773309632284464
A0,W6,0.6649526988075767
A0,X0,0.5615608694342619
A0,X1,0.7527342172461781
A0,X2,0.908070849889591
A0,X3,0.5170964568566467
A0,X4,0.4357268876658963
A0,X5,0.43651489491316875
A0,X6,0.5146900400143118
A0,Y0,0.9395603555546777
A0,Y1,0.7833646049433032
A0,Y2,0.6874485703360209
A0,Y3,0.5410781470379267
A0,Y4,0.386290308204304
A0,Y5,0.706396867164169
A0,Y6,0.7884645070411436
A0,Z0,0.5295546367969227
A0,Z1,0.6538683475552153
A0,Z2,0.573464153063986
A0,Z3,0.5551577642383927
A0,Z4,0.5002087854007066
A0,Z5,0.8059855167915903
A0,Z6,0.7406841282963819
A1,A0,0.9324558493633063
A1,A1,0.7481397412524395
A1,A2,0.867766155057454
A1,A3,0.9292416194259344
A1,A4,0.8307770554989851
A1,A5,0.847343563571321
A1,A6,0.9755005156054327
A1,B0,0.8666831601301973
A1,B1,0.9746275782744704
A1,B2,0.9834498155421435
A1,B3,0.9563381977095053
A1,B4,0.9277865438219004
A1,B5,0.7927794241014949
A1,B6,0.8515675427330673
A1,C0,0.8754101403733082
A1,C1,0.8907546505325393
A1,C2,0.9596360196453684
A1,C3,0.948292561766322
A1,C4,0.8515260049557444
A1,C5,0.9843432982048604
A1,C6,0.9661505992832307
A1,D0,0.9175038265889097
A1,D1,0.729082314686036
A1,D2,0.9826797709954155
A1,D3,0.8985323384093732
A1,D4,0.9243485136080561
A1,D5,0.8045904079233871
A1,D6,0.7364179597669576
A1,E0,0.8894338938875859
A1,E1,0.8885843872352643
A1,E2,0.9864855831370044
A1,E3,0.9430124242766594
A1,E4,0.8424489879880298
A1,E5,0.9230022936322918
A1,E6,0.9030283429319824
A1,F0,0.9454743832789171
A1,F1,0.8579167334476677
A1,F2,0.7885432826316375
A1,F3,0.7352607508967174
A1,F4,0.9305396194669
A1,F5,0.9093436652750977
A1,F6,0.8242719434747496
A1,G0,0.8233609304523919
A1,G1,0.8317602631307002
A1,G2,0.8722608211475037
A1,G3,0.9759291093436806
A1,G4,0.8192093985113964
A1,G5,0.9530588554820246
A1,G6,0.9515713223453152
A1,H0,0.9125214909117674
A1,H1,0.9105789063092128
A1,H2,0.8488335836321659
A1,H3,0.861722110432325
A1,H4,0.8915027316449267
A1,H5,0.8643409335384189
A1,H6,0.9283522507044791
A1,I0,0.9759417294732935
A1,I1,0.8448673755225733
A1,I2,0.8920342913681361
A1,I3,0.8328667476829845
A1,I4,0.8834467171438816
A1,I5,0.8658882200592135
A1,I6,0.7247428145843762
A1,J0,0.9602855636578207
A1,J1,0.9793596665271229
A1,J2,0.7954632687746022
A1,J3,0.9337142014807033
A1,J4,0.8116131122575123
A1,J5,0.8818044199223193
A1,J6,0.7476394014496556
A1,K0,0.8487545671635688
A1,K1,0.9739057509353806
A1,K2,0.7292330293519143
A1,K3,0.9601869084284086
A1,K4,0.8734603233903385
A1,K5,0.7556403070483892
